definition,uni_lemma,gloss,category,item,type,choices,complexity_category,itemID
Şarkı,,song,games_routines,Sarki,word,produces,,item_397
Tabii,,of course/sure,games_routines,Tabii,word,produces,,item_398
Takla,,somersault,games_routines,Takla,word,produces,,item_399
Tamam,,ok/allright,games_routines,Tamam,word,produces,,item_400
Teşekkür/Mersi/Sağol,thank you,thank you,games_routines,Tesekkur/Mersi/Sagol,word,produces,,item_401
Uyku,,nap/sleep,games_routines,Uyku,word,produces,,item_402
Var,,present/there is,games_routines,Var,word,produces,,item_403
Yarış,,race,games_routines,Yaris,word,produces,,item_404
Yazık,,a shame/a pity,games_routines,Yazik,word,produces,,item_405
Yeter,,enough,games_routines,Yeter,word,produces,,item_406
Yok,,absent/allgone,games_routines,Yok,word,produces,,item_407
Acı (canı),,hurt,action_words,Aci_(cani),word,produces,,item_408
Acık,,get hungry,action_words,Acik,word,produces,,item_409
Aç,,open,action_words,Ac,word,produces,,item_410
Açıl,,be opened,action_words,Acil,word,produces,,item_411
Ağla,,cry,action_words,Agla,word,produces,,item_412
Al,,take,action_words,Al,word,produces,,item_413
Anla,,understand,action_words,Anla,word,produces,,item_414
Anlat,,tell,action_words,Anlat,word,produces,,item_415
Ara,,look for,action_words,Ara,word,produces,,item_416
Atla,,jump,action_words,Atla,word,produces,,item_417
At (action),,throw,action_words,At,word,produces,,item_418
Bağır,,yell/shout,action_words,Bagir,word,produces,,item_419
Bağla,,tie/connect,action_words,Bagla,word,produces,,item_420
Bak,,look,action_words,Bak,word,produces,,item_421
Bas,,press/step,action_words,Bas,word,produces,,item_422
Başla,,begin/start,action_words,Basla,word,produces,,item_423
Beğen,,like,action_words,Begen,word,produces,,item_424
Bekle,,wait,action_words,Bekle,word,produces,,item_425
Benze,,look like/resemble,action_words,Benze,word,produces,,item_426
Bırak,,drop /let go,action_words,Birak,word,produces,,item_427
Bil,,know,action_words,Bil,word,produces,,item_428
Bin,,get on (a vehicle),action_words,Bin,word,produces,,item_429
Bit,,finish/all gone,action_words,Bit,word,produces,,item_430
Bitir,,finish,action_words,Bitir,word,produces,,item_431
Boya (action),,paint,action_words,Boya,word,produces,,item_432
Boz,,pull apart,action_words,Boz,word,produces,,item_433
Bul,,find,action_words,Bul,word,produces,,item_434
Büyü,,grow up,action_words,Buyu,word,produces,,item_435
Çağır,,call,action_words,Cagir,word,produces,,item_436
Çalış,,work,action_words,Calis,word,produces,,item_437
Çek,,pull,action_words,Cek,word,produces,,item_438
Çevir,,turn/spin,action_words,Cevir,word,produces,,item_439
Çıkar,,take off,action_words,Cikar,word,produces,,item_440
Çiz,,draw,action_words,Ciz,word,produces,,item_441
Dağıt,,distribute/scatter/throw around,action_words,Dagit,word,produces,,item_442
Dinle,,listen,action_words,Dinle,word,produces,,item_443
Dokun,,touch,action_words,Dokun,word,produces,,item_444
Doy,,be full/saturated,action_words,Doy,word,produces,,item_445
Dön,,turn around/spin,action_words,Don,word,produces,,item_446
Döv,,beat/kick,action_words,Dov,word,produces,,item_447
Dur,,stop,action_words,Dur,word,produces,,item_448
Duy,,hear,action_words,Duy,word,produces,,item_449
Dök,,pour/dump/spill,action_words,Dok,word,produces,,item_450
Düş,,fall,action_words,Dus,word,produces,,item_451
Düzelt,,fix/correct/make smooth,action_words,Duzelt,word,produces,,item_452
Elle,,touch,action_words,Elle,word,produces,,item_453
