itemID,definition,gloss,category,item,type,choices,complexity_category,uni_lemma
item_336,bauen,build,action_words,bauen,word,produces,,
item_337,schmecken,taste,action_words,schmecken,word,produces,,
item_338,sehen,see,action_words,sehen,word,produces,,see
item_339,lecken,lecken,action_words,lecken,word,produces,,lick
item_340,finden,find,action_words,finden,word,produces,,find
item_341,fangen,catch,action_words,fangen,word,produces,,catch
item_342,kitzeln,tickle,action_words,kitzeln,word,produces,,tickle
item_343,singen,sing,action_words,singen,word,produces,,sing
item_344,kriegen,get,action_words,kriegen,word,produces,,get
item_345,geben,give,action_words,geben,word,produces,,give
item_346,zumachen,shut,action_words,zumachen,word,produces,,close
item_347,waschen,wash,action_words,waschen,word,produces,,wash
item_348,lachen,laugh,action_words,lachen,word,produces,,laugh
item_349,spielen,play,action_words,spielen,word,produces,,play
item_350,hören,hear,action_words,horen,word,produces,,hear
item_351,schneiden,cut,action_words,schneiden,word,produces,,
item_352,arbeiten,work,action_words,arbeiten,word,produces,,work (action)
item_353,bleiben,stay,action_words,bleiben,word,produces,,
item_354,aufhören,stop,action_words,aufhoren,word,produces,,stop
item_355,fahren,go,action_words,fahren,word,produces,,drive
item_356,pusten,blow,action_words,pusten,word,produces,,blow
item_357,schaukeln,swing,action_words,schaukeln,word,produces,,swing (action)
item_358,reißen,tear,action_words,reissen,word,produces,,tear
item_359,treten,kick,action_words,treten,word,produces,,kick
item_360,essen,eat,action_words,essen,word,produces,,eat
item_361,stoßen,push,action_words,stossen,word,produces,,hit
item_362,schütteln,shake,action_words,schutteln,word,produces,,shake
item_363,gern haben,like,action_words,gern_haben,word,produces,,
item_364,zuhören,listen,action_words,zuhoren,word,produces,,
item_365,jagen,chase,action_words,jagen,word,produces,,
item_366,anfassen,touch,action_words,anfassen,word,produces,,touch
item_367,sitzen,sit,action_words,sitzen,word,produces,,sit
item_368,machen,make,action_words,machen,word,produces,,make
item_369,öffnen,open,action_words,offnen,word,produces,,open (action)
item_370,gehen,go,action_words,gehen,word,produces,,walk
item_371,kochen,cook,action_words,kochen,word,produces,,
item_372,zugucken,watch,action_words,zugucken,word,produces,,watch (action)
item_373,kleckern,spill,action_words,kleckern,word,produces,,spill
item_374,schütten,pour,action_words,schutten,word,produces,,
item_375,helfen,help,action_words,helfen,word,produces,,help
item_376,tanzen,dance,action_words,tanzen,word,produces,,dance
