itemID,item,type,category_ja,category,definition,definition_ja2,gloss,uni_lemma
item_303,M10,word,動作語,action_words,いれる（入れる）,Ireru,Put_in,put in
item_304,M11,word,動作語,action_words,うたう（歌う）,Utau,Sing,sing
item_305,M12,word,動作語,action_words,おきる（起きる）,Okiru,Get_up,get up
item_306,M13,word,動作語,action_words,おく（置く）,Oku,Put,put
item_307,M14,word,動作語,action_words,おこる（怒る）,Okoru,Get_angry,
item_308,M15,word,動作語,action_words,おちる（落ちる）,Ochiru,Fall,fall
item_309,M16,word,動作語,action_words,おりる（降りる）,Oriru,Get_off,get off
item_310,M17,word,動作語,action_words,かえる（帰る）,Kaeru,Go_home,
item_311,M18,word,動作語,action_words,かく（書く）,Kaku,Write,write
item_312,M19,word,動作語,action_words,かす（貸す）,Kasu,Lend,lend
item_313,M20,word,動作語,action_words,かたづける,Katazukeru,Clean_up,clean (action)
item_314,M21,word,動作語,action_words,きる（着る）,Kiru,Wear,wear
item_315,M22,word,動作語,action_words,くる（来る）,Kuru,Come,come
item_316,M23,word,動作語,action_words,こぼす,Kobosu,Spill,spill
item_317,M24,word,動作語,action_words,ころぶ,Korobu,Fall,fall
item_318,M25,word,動作語,action_words,しめる（閉める）,Shimeru,Close,close
item_319,M26,word,動作語,action_words,すき（好き）,Suki,Like,like
item_320,M27,word,動作語,action_words,捨てる,Suteru,Throw_away,
item_321,M28,word,動作語,action_words,する,Suru,Do,do
item_322,M29,word,動作語,action_words,すわる,Suwaru,Sit,sit
item_323,M30,word,動作語,action_words,だく（抱く）,Daku,Hug,hug
item_324,M31,word,動作語,action_words,たたく,Tataku,Hit,hit
item_325,M32,word,動作語,action_words,たつ（立つ）,Tatsu,Stand,stand
item_326,M33,word,動作語,action_words,たべる（食べる）,Taberu,Eat,eat
item_327,M34,word,動作語,action_words,できる（出来る）,Dekiru,Can_do,
item_328,M35,word,動作語,action_words,でる（出る）,Deru,Get_out,get out
item_329,M36,word,動作語,action_words,とる（取る）,Toru,Take,take
item_330,M37,word,動作語,action_words,なく（泣く）,Naku,Cry,cry
item_331,M38,word,動作語,action_words,なげる（投げる）,Nageru,Throw,throw
item_332,M39,word,動作語,action_words,ぬぐ（脱ぐ）,Nugu,Take_off,remove
item_333,M40,word,動作語,action_words,ねる（寝る）,Neru,Sleep,sleep
item_334,M41,word,動作語,action_words,のむ（飲む）,Nomu,Drink,drink (action)
item_335,M42,word,動作語,action_words,のる（乗る）,Noru,Get_on,get on
item_336,M43,word,動作語,action_words,はいる（入る）,Hairu,Enter,enter
item_337,M44,word,動作語,action_words,はく（履く）,Haku,Wear,wear
item_338,M45,word,動作語,action_words,ふく（拭く）,Fuku,Wipe,wipe
item_339,M46,word,動作語,action_words,ほしい,Hoshii,Want,want
item_340,M47,word,動作語,action_words,まつ（待つ）,Matsu,Wait,wait
item_341,M48,word,動作語,action_words,みせる,Miseru,Show,show
item_342,M49,word,動作語,action_words,みる（見る）,Miru,Look,look
item_343,M50,word,動作語,action_words,もつ（持つ）,Motsu,Have,have
item_344,M51,word,動作語,action_words,持ってくる,Mottekuru,Bring_up,bring
item_345,M52,word,動作語,action_words,やめる,Yameru,Stop,stop
item_346,M53,word,動作語,action_words,やる,Yaru,Do,do
item_347,M54,word,動作語,action_words,よむ（読む）,Yomu,Read,read
item_348,M55,word,動作語,action_words,わらう（笑う）,Warau,Laugh,laugh
item_349,N1,word,時間についてのことば,time_words,あさ,Asa,Morning,morning
item_350,N2,word,時間についてのことば,time_words,あとで,Atode,Later,later
item_351,N3,word,時間についてのことば,time_words,いま,Ima,Now,now
item_352,N4,word,時間についてのことば,time_words,きょう,Kyou,Today,today
item_353,N5,word,時間についてのことば,time_words,さっき,Sakki,A_moment_ago,
