itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category,
item_389,esta_bem,word,games_routines,produces,Está bem!,,,,Está_bem
item_390,golo,word,games_routines,produces,Golo!,,,,Golo
item_391,ja_esta,word,games_routines,produces,Já está!,,,,Já_está
item_392,nao,word,games_routines,produces,Não,,,,Não
item_393,nao_ha,word,games_routines,produces,Não há.,,,,Não_há
item_394,nao_mexe,word,games_routines,produces,Não mexe!,,,,Não_mexe
item_395,obrigado,word,games_routines,produces,Obrigado / a!,,,,Obrigado
item_396,ola,word,games_routines,produces,Olá!,,,,Olá
item_397,ole,word,games_routines,produces,Olé!,,,,Olé
item_398,olha,word,games_routines,produces,Olha!,,,,Olha
item_399,para,word,games_routines,produces,Para (verbo parar)!,,,,Para
item_400,palminhas,word,games_routines,produces,Palminhas!,,,,Palminhas
item_401,para_banho,word,games_routines,produces,Para o banho!,,,,Para_banho
item_402,por_favor,word,games_routines,produces,Por favor!,,,,Por_favor
item_403,sim,word,games_routines,produces,Sim,,,,Sim
item_404,toca_dormir,word,games_routines,produces,Toca a dormir / Vamos nanar / Fazer ó-ó!,,,,Toca_dormir
item_405,vamos,word,games_routines,produces,Vamos,,,,Vamos
item_406,vamos_rua,word,games_routines,produces,Vamos á rua!,,,,Vamos_rua
item_407,vamos_parque,word,games_routines,produces,Vamos ao parque!,,,,Vamos_parque
item_408,vamos_comer,word,games_routines,produces,Vamos comer!,,,,Vamos_comer
item_409,vamos_passear,word,games_routines,produces,Vamos passear!,,,,Vamos_passear
item_410,xixi,word,games_routines,produces,Xixi!,,,,Xixi
item_411,abrir,word,action_words,produces,Abrir,,,,Abrir
item_412,acabar,word,action_words,produces,Acabar,,,,Acabar
item_413,ajudar,word,action_words,produces,Ajudar,,,,Ajudar
item_414,andar,word,action_words,produces,Andar,,,,Andar
item_415,apagar,word,action_words,produces,Apagar,,,,Apagar
item_416,apanhar,word,action_words,produces,Apanhar,,,,Apanhar
item_417,arrefecer,word,action_words,produces,Arrefecer,,,,Arrefecer
item_418,arrumar,word,action_words,produces,Arrumar,,,,Arrumar
item_419,assoar,word,action_words,produces,Assoar,,,,Assoar
item_420,beber,word,action_words,produces,Beber,,,,Beber
item_421,brincar,word,action_words,produces,Brincar,,,,Brincar
item_422,buscar,word,action_words,produces,Buscar,,,,Buscar
item_423,cair,word,action_words,produces,Cair,,,,Cair
item_424,calar,word,action_words,produces,Calar,,,,Calar
item_425,calcar,word,action_words,produces,Calçar,,,,Calçar
item_426,cantar,word,action_words,produces,Cantar,,,,Cantar
item_427,chamar,word,action_words,produces,Chamar,,,,Chamar
item_428,chorar,word,action_words,produces,Chorar,,,,Chorar
item_429,colocar,word,action_words,produces,Colocar,,,,Colocar
item_430,comecar,word,action_words,produces,Começar,,,,Começar
item_431,comer,word,action_words,produces,Comer,,,,Comer
item_432,comprar,word,action_words,produces,Comprar,,,,Comprar
item_433,conseguir,word,action_words,produces,Conseguir,,,,Conseguir
item_434,contar,word,action_words,produces,Contar,,,,Contar
item_435,correr,word,action_words,produces,Correr,,,,Correr
item_436,cortar,word,action_words,produces,Cortar,,,,Cortar
item_437,dancar,word,action_words,produces,Dançar,,,,Dançar
item_438,dar,word,action_words,produces,Dar,,,,Dar
item_439,deitar,word,action_words,produces,Deitar,,,,Deitar
item_440,descer,word,action_words,produces,Descer,,,,Descer
item_441,doer,word,action_words,produces,Doer,,,,Doer
item_442,dormir,word,action_words,produces,Dormir,,,,Dormir
item_443,ensinar,word,action_words,produces,Ensinar,,,,Ensinar
item_444,entrar,word,action_words,produces,Entrar,,,,Entrar
